Tamanho,Threads,Tempo_s,GFLOPS
512,2,0.008000,33.5539
1024,2,0.054000,39.7681
2048,2,1.152000,14.9131
4096,2,12.858000,10.6890
512,4,0.010000,26.8436
1024,4,0.029000,74.0510
2048,4,0.693000,24.7906
4096,4,6.744000,20.3794
512,6,0.007000,38.3481
1024,6,0.024000,89.4787
2048,6,0.467000,36.7877
4096,6,5.071000,27.1029
512,8,0.007000,38.3481
1024,8,0.030000,71.5829
2048,8,0.352000,48.8064
4096,8,3.573000,38.4660
512,10,0.005000,53.6859
1024,10,0.026000,82.5955
2048,10,0.282000,60.9215
4096,10,2.712000,50.6781
512,12,0.004000,67.1057
1024,12,0.024000,89.4787
2048,12,0.325000,52.8612
4096,12,5.156000,26.6561
512,2,0.009000,29.8260
1024,2,0.055000,39.0451
2048,2,1.259000,13.6456
4096,2,12.800000,10.7374
512,4,0.008000,33.5549
1024,4,0.042000,51.1305
2048,4,0.678000,25.3390
4096,4,6.606000,20.8052
512,6,0.007000,38.3481
1024,6,0.032000,67.1092
2048,6,0.479000,35.8661
4096,6,5.095000,26.9753
512,8,0.006000,44.7389
1024,8,0.030000,71.5829
2048,8,0.352000,48.8064
4096,8,3.572000,38.4768
512,10,0.004000,67.1097
1024,10,0.027000,79.5366
2048,10,0.293000,58.6344
4096,10,2.749000,49.9960
512,12,0.004000,67.1097
1024,12,0.024000,89.4779
2048,12,0.312000,55.0637
4096,12,5.954000,23.0835
512,2,0.010000,26.8436
1024,2,0.054000,39.7683
2048,2,1.247000,13.7770
4096,2,12.789000,10.7467
512,4,0.008000,33.5549
1024,4,0.041000,52.3775
2048,4,0.657000,26.1490
4096,4,6.554000,20.9702
512,6,0.008000,33.5549
1024,6,0.023000,93.3688
2048,6,0.474000,36.2444
4096,6,5.118000,26.8540
512,8,0.006000,44.7407
1024,8,0.038000,56.5126
2048,8,0.345000,49.7967
4096,8,3.573000,38.4660
512,10,0.006000,44.7389
1024,10,0.026000,82.5955
2048,10,0.307000,55.9605
4096,10,2.724000,50.4548
512,12,0.006000,44.7389
1024,12,0.024000,89.4779
2048,12,0.310000,55.4189
4096,12,5.863000,23.4417
