Tamanho,Metodo,Tempo_s,GFLOPS,Delta
512,Sequencial,0.063511,4.23,0.0
512,CUDA_Naive,0.006146,43.68,6.534008e-16
512,CUDA_Tiled,0.004031,66.59,6.534008e-16
1024,Sequencial,1.348379,1.59,0.0
1024,CUDA_Naive,0.031171,68.89,6.654544e-16
1024,CUDA_Tiled,0.030949,69.39,6.654544e-16
2048,Sequencial,9.410658,1.83,0.0
2048,CUDA_Naive,0.310430,55.34,6.702536e-16
2048,CUDA_Tiled,0.190775,90.05,6.702536e-16
4096,Sequencial,78.774955,1.74,0.0
4096,CUDA_Naive,1.664191,82.59,8.725677e-16
4096,CUDA_Tiled,1.640899,83.76,8.725677e-16
